Level,Name,PSGC Code
Bgy,Dampalit,1380400006
Bgy,Flores,1380400007
Bgy,Hulong Duhat,1380400008
Bgy,Ibaba,1380400009
Bgy,Longos,1380400010
Bgy,Maysilo,1380400011
Bgy,Muzon,1380400012
Bgy,Niugan,1380400013
Bgy,Panghulo,1380400014
Bgy,Potrero,1380400015
Bgy,San Agustin,1380400016
Bgy,Santolan,1380400017
Bgy,Tañong ,1380400018
Bgy,Tinajeros,1380400019
Bgy,Tonsuya,1380400020
Bgy,Tugatog,1380400021
City,City of Mandaluyong,1380500000
Bgy,Addition Hills,1380500001
Bgy,Bagong Silang,1380500002
Bgy,Barangka Drive,1380500003
Bgy,Barangka Ibaba,1380500004
Bgy,Barangka Ilaya,1380500005
Bgy,Barangka Itaas,1380500006
Bgy,Burol,1380500007
Bgy,Buayang Bato,1380500008
Bgy,Daang Bakal,1380500009
Bgy,Hagdang Bato Itaas,1380500010
Bgy,Hagdang Bato Libis,1380500011
Bgy,Harapin Ang Bukas,1380500012
Bgy,Highway Hills,1380500013
Bgy,Hulo,1380500014
Bgy,Mabini-J. Rizal,1380500015
Bgy,Malamig,1380500016
Bgy,Mauway,1380500017
Bgy,Namayan,1380500018
Bgy,New Zañiga,1380500019
Bgy,Old Zañiga,1380500020
Bgy,Pag-asa,1380500021
Bgy,Plainview,1380500022
Bgy,Pleasant Hills,1380500023
Bgy,Poblacion,1380500024
Bgy,San Jose,1380500025
Bgy,Vergara,1380500026
Bgy,Wack-wack Greenhills,1380500027
City,City of Manila,1380600000
SubMun,Tondo I/II,1380601000
Bgy,Barangay 1,1380601001
Bgy,Barangay 2,1380601002
Bgy,Barangay 3,1380601003
Bgy,Barangay 4,1380601004
Bgy,Barangay 5,1380601005
Bgy,Barangay 6,1380601006
Bgy,Barangay 7,1380601007
Bgy,Barangay 8,1380601008
Bgy,Barangay 9,1380601009
Bgy,Barangay 10,1380601010
Bgy,Barangay 11,1380601011
Bgy,Barangay 12,1380601012
Bgy,Barangay 13,1380601013
Bgy,Barangay 14,1380601014
Bgy,Barangay 15,1380601015
Bgy,Barangay 16,1380601016
Bgy,Barangay 17,1380601017
Bgy,Barangay 18,1380601018
Bgy,Barangay 19,1380601019
Bgy,Barangay 20,1380601020
Bgy,Barangay 25,1380601025
Bgy,Barangay 26,1380601026
